Map,Desired Safe prob,Delay prob (Planning),Delay prob (Execution),Number of agents,Number of goals,Instance,Runtime,Offline Runtime,Online Runtime,Number Of Replans,Online Sum of Service Time,Offline Sum of Service Time,Number of Expands,Min Safe Prob,Algorithm
maze-32-32-2,0.05,0.25,0.25,20,15,1,16.781,16.781,0,0,256,180,1.0,0.9173,RCbssTA
maze-32-32-2,0.25,0.25,0.25,20,15,1,16.333,16.333,0,0,256,180,1.0,0.9173,RCbssTA
maze-32-32-2,0.5,0.25,0.25,20,15,1,16.605,16.605,0,0,256,180,1.0,0.9173,RCbssTA
maze-32-32-2,0.8,0.25,0.25,20,15,1,18.737,18.737,0,0,256,180,1.0,0.9173,RCbssTA
maze-32-32-2,0.95,0.25,0.25,20,15,1,17.091,17.091,0,0,256,180,1.0,0.9505,RCbssTA
maze-32-32-2,0.99,0.25,0.25,20,15,1,60,60,0,0,256,180,49.0,0.9727,RCbssTA
maze-32-32-2,0.999,0.25,0.25,20,15,1,60,60,0,0,256,180,49.0,0.9686,RCbssTA
maze-32-32-2,0.9999,0.25,0.25,20,15,1,60,60,0,0,256,180,28.0,0.9757,RCbssTA
maze-32-32-2,0.05,0.25,0.25,20,15,2,10.107,10.107,0,0,168,118,1.0,0.9173,RCbssTA
maze-32-32-2,0.25,0.25,0.25,20,15,2,9.031,9.031,0,0,168,118,1.0,0.9173,RCbssTA
maze-32-32-2,0.5,0.25,0.25,20,15,2,9.703,9.703,0,0,168,118,1.0,0.9173,RCbssTA
maze-32-32-2,0.8,0.25,0.25,20,15,2,11.949,11.949,0,0,168,118,1.0,0.9173,RCbssTA
maze-32-32-2,0.95,0.25,0.25,20,15,2,10.393,10.393,0,0,168,118,1.0,0.9505,RCbssTA
maze-32-32-2,0.99,0.25,0.25,20,15,2,11.363,11.363,0,0,168,118,1.0,0.99,RCbssTA
maze-32-32-2,0.999,0.25,0.25,20,15,2,11.795,11.795,0,0,168,118,1.0,0.999,RCbssTA
maze-32-32-2,0.9999,0.25,0.25,20,15,2,17.176,17.176,0,0,168,118,1.0,0.9999,RCbssTA
maze-32-32-2,0.05,0.25,0.25,20,15,3,20.485,20.485,0,0,179,128,1.0,0.7745,RCbssTA
maze-32-32-2,0.25,0.25,0.25,20,15,3,20.164,20.164,0,0,179,128,1.0,0.7745,RCbssTA
maze-32-32-2,0.5,0.25,0.25,20,15,3,20.337,20.337,0,0,179,128,1.0,0.7745,RCbssTA
maze-32-32-2,0.8,0.25,0.25,20,15,3,20.316,20.316,0,0,179,128,1.0,0.8039,RCbssTA
maze-32-32-2,0.95,0.25,0.25,20,15,3,20.27,20.27,0,0,179,128,2.0,0.9501,RCbssTA
maze-32-32-2,0.99,0.25,0.25,20,15,3,60,60,0,0,179,128,2.0,0.9827,RCbssTA
maze-32-32-2,0.999,0.25,0.25,20,15,3,52.8,52.8,0,0,177,128,51.0,0.999,RCbssTA
maze-32-32-2,0.9999,0.25,0.25,20,15,3,60,60,0,0,179,128,14.0,0.9929,RCbssTA
maze-32-32-2,0.05,0.25,0.25,20,15,4,9.023,9.023,0,0,132,95,1.0,0.9173,RCbssTA
maze-32-32-2,0.25,0.25,0.25,20,15,4,9.601,9.601,0,0,132,95,1.0,0.9173,RCbssTA
maze-32-32-2,0.5,0.25,0.25,20,15,4,8.321,8.321,0,0,132,95,1.0,0.9173,RCbssTA
maze-32-32-2,0.8,0.25,0.25,20,15,4,8.141,8.141,0,0,132,95,1.0,0.9173,RCbssTA
maze-32-32-2,0.95,0.25,0.25,20,15,4,7.574,7.574,0,0,132,95,1.0,0.9505,RCbssTA
maze-32-32-2,0.99,0.25,0.25,20,15,4,8.134,8.134,0,0,132,95,1.0,0.99,RCbssTA
maze-32-32-2,0.999,0.25,0.25,20,15,4,10.492,10.492,0,0,132,95,1.0,0.999,RCbssTA
maze-32-32-2,0.9999,0.25,0.25,20,15,4,14.841,14.841,0,0,132,95,1.0,0.9999,RCbssTA
maze-32-32-2,0.05,0.25,0.25,20,15,5,6.326,6.326,0,0,131,87,1.0,0.9173,RCbssTA
maze-32-32-2,0.25,0.25,0.25,20,15,5,7.252,7.252,0,0,131,87,1.0,0.9173,RCbssTA
maze-32-32-2,0.5,0.25,0.25,20,15,5,5.566,5.566,0,0,131,87,1.0,0.9173,RCbssTA
maze-32-32-2,0.8,0.25,0.25,20,15,5,7.044,7.044,0,0,131,87,1.0,0.9173,RCbssTA
maze-32-32-2,0.95,0.25,0.25,20,15,5,5.992,5.992,0,0,131,87,1.0,0.9505,RCbssTA
maze-32-32-2,0.99,0.25,0.25,20,15,5,5.949,5.949,0,0,131,87,1.0,0.99,RCbssTA
maze-32-32-2,0.999,0.25,0.25,20,15,5,7.553,7.553,0,0,131,87,1.0,0.999,RCbssTA
