Map,Desired Safe prob,Delay prob (Planning),Delay prob (Execution),Number of agents,Number of goals,Instance,Runtime,Offline Runtime,Online Runtime,Number Of Replans,Online Sum of Service Time,Offline Sum of Service Time,Number of Expands,Min Safe Prob,Algorithm
maze-32-32-2,0.05,0.25,0.25,20,15,2,10.107,10.107,0.0,0.0,168.0,118.0,1.0,0.9173,RCbssTA
maze-32-32-2,0.25,0.25,0.25,20,15,2,9.031,9.031,0.0,0.0,168.0,118.0,1.0,0.9173,RCbssTA
maze-32-32-2,0.5,0.25,0.25,20,15,2,9.703,9.703,0.0,0.0,168.0,118.0,1.0,0.9173,RCbssTA
maze-32-32-2,0.8,0.25,0.25,20,15,2,11.949,11.949,0.0,0.0,168.0,118.0,1.0,0.9173,RCbssTA
maze-32-32-2,0.95,0.25,0.25,20,15,2,10.393,10.393,0.0,0.0,168.0,118.0,1.0,0.9505,RCbssTA
maze-32-32-2,0.99,0.25,0.25,20,15,2,11.363,11.363,0.0,0.0,168.0,118.0,1.0,0.99,RCbssTA
maze-32-32-2,0.999,0.25,0.25,20,15,2,11.795,11.795,0.0,0.0,168.0,118.0,1.0,0.999,RCbssTA
maze-32-32-2,0.9999,0.25,0.25,20,15,2,17.176,17.176,0.0,0.0,168.0,118.0,1.0,0.9999,RCbssTA
maze-32-32-2,NotAvailable,0.0,0.25,20,15,2,9.55,9.55,0.0,0.0,168.0,118.0,1.0,NotAvailable,CBSSsst
maze-32-32-2,0,0.25,0.25,20,15,2,9.87,9.87,0.0,0.0,168.0,118.0,1.0,0,RCbssTS
maze-32-32-2,0.05,0.25,0.25,20,15,2,12.178,12.178,0.0,0.0,168.0,118.0,1.0,0.05,RCbssTS
maze-32-32-2,0.25,0.25,0.25,20,15,2,10.477,10.477,0.0,0.0,168.0,118.0,1.0,0.25,RCbssTS
maze-32-32-2,0.5,0.25,0.25,20,15,2,12.123,12.123,0.0,0.0,168.0,118.0,1.0,0.5,RCbssTS
maze-32-32-2,0.8,0.25,0.25,20,15,2,11.842,11.842,0.0,0.0,168.0,118.0,1.0,0.8,RCbssTS
maze-32-32-2,0.95,0.25,0.25,20,15,2,11.713,11.713,0.0,0.0,168.0,118.0,1.0,0.95,RCbssTS
