Map,Desired Safe prob,Delay prob (Planning),Delay prob (Execution),Number of agents,Number of goals,Instance,Runtime,Offline Runtime,Online Runtime,Number Of Replans,Online Sum of Service Time,Offline Sum of Service Time,Number of Expands,Min Safe Prob,Algorithm
maze-32-32-2,0.05,0.25,0.25,20,15,1,19.956,19.956,0,0,256,180,1,0.05,RCbssTS
maze-32-32-2,0.25,0.25,0.25,20,15,1,19.268,19.268,0,0,256,180,1,0.25,RCbssTS
maze-32-32-2,0.5,0.25,0.25,20,15,1,19.151,19.151,0,0,256,180,1,0.5,RCbssTS
maze-32-32-2,0.8,0.25,0.25,20,15,1,19.468,19.468,0,0,256,180,1,0.8,RCbssTS
maze-32-32-2,0.95,0.25,0.25,20,15,1,19.575,19.575,0,0,256,180,1,0.95,RCbssTS
maze-32-32-2,0.99,0.25,0.25,20,15,1,,,,,,,49,,RCbssTS
maze-32-32-2,0.999,0.25,0.25,20,15,1,,,,,,,30,,RCbssTS
maze-32-32-2,0.9999,0.25,0.25,20,15,1,,,,,,,10,,RCbssTS
maze-32-32-2,0.05,0.25,0.25,20,15,2,12.178,12.178,0,0,168,118,1,0.05,RCbssTS
maze-32-32-2,0.25,0.25,0.25,20,15,2,10.477,10.477,0,0,168,118,1,0.25,RCbssTS
maze-32-32-2,0.5,0.25,0.25,20,15,2,12.123,12.123,0,0,168,118,1,0.5,RCbssTS
maze-32-32-2,0.8,0.25,0.25,20,15,2,11.842,11.842,0,0,168,118,1,0.8,RCbssTS
maze-32-32-2,0.95,0.25,0.25,20,15,2,11.713,11.713,0,0,168,118,1,0.95,RCbssTS
maze-32-32-2,0.99,0.25,0.25,20,15,2,12.165,12.165,0,0,168,118,1,0.99,RCbssTS
maze-32-32-2,0.999,0.25,0.25,20,15,2,13.089,13.089,0,0,168,118,1,0.999,RCbssTS
maze-32-32-2,0.9999,0.25,0.25,20,15,2,20.665,20.665,0,0,168,118,1,0.9999,RCbssTS
maze-32-32-2,0.05,0.25,0.25,20,15,3,20.298,20.298,0,0,179,128,1,0.05,RCbssTS
